name,email,password,role,OrganizationId
Devansh Agarwal,devansh@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Ira Bansal,ira.bansal@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Yash Khanna,yash.khanna@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Tara Rao,tara.rao@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Ayaan Kapoor,ayaan.kapoor@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Kiara Malhotra,kiara.malhotra@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Nikhil Sethi,nikhil.sethi@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Riya Jain,riya.jain@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Arnav Mishra,arnav.mishra@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
Simran Kaur,simran.kaur@gmail.com,123456,member,4598c573-43c1-4299-bad5-4e3e48b7673c
